Summary,Issue Type,Priority,Component,Description
fix: verify_password() missing plain_password argument,Bug,Critical,services,"PasswordService.verify_password() only accepts hashed_password but argon2 verify() requires both hash and plain password. It will always fail. Fix: add plain_password param and call self.ph.verify(hashed_password, plain_password)."
fix: auth route swallows exceptions and returns HTTP 200 on errors,Bug,Critical,api,"auth.py catches all exceptions and returns ApiErrorResponse with HTTP 200. The app-level BaseAppException handler in main.py is wired up but never invoked. Errors should raise exceptions so handlers fire correctly."
fix: remove print(exc.errors()) debug leftover in main.py,Bug,High,core,"print(exc.errors()) left in the RequestValidationError handler. Should be removed or replaced with a logger call."
fix: JWT_ACCESS_TOKEN_EXPIRE_MINUTES value is in seconds not minutes,Bug,High,core,"Setting is (60 * 60) * 1 = 3600 but the name says minutes. Token actually expires in 2.5 days. Either rename the setting to JWT_ACCESS_TOKEN_EXPIRE_SECONDS or fix the value to 60."
feat: add login endpoint,Task,High,api,"Only signup is implemented. Add POST /api/v1/auth/login that validates credentials and returns a JWT access token. A template with no login endpoint is not useful."
feat: implement JWT token generation and validation,Task,High,services,"JWT settings exist in settings.py but nothing generates or validates tokens. Add utilities for token creation and a get_current_user dependency for protected routes."
feat: add /health endpoint,Task,Medium,api,"Add a GET /health endpoint returning service status. Standard practice for infra, load balancers, and deployment readiness checks."
feat: add tests,Task,High,tests,"tests/ directory is empty. Minimum: unit test for PasswordService, integration test for /signup, smoke test that app starts and /health returns 200."
refactor: UserService should use Depends(get_db) instead of SessionLocal directly,Improvement,High,services,"UserService creates SessionLocal() directly bypassing FastAPI dependency injection. Inconsistent with the get_db dependency already defined in database.py and makes testing harder."
chore: remove or implement MAX_ACTIVE_SESSIONS_PER_USER setting,Improvement,Low,core,"MAX_ACTIVE_SESSIONS_PER_USER = 9999999 is a magic number with no implementation behind it. Either implement session limiting logic or remove the setting."
fix: DEBUG should default to False,Improvement,High,core,"DEBUG = True is hardcoded as the default in settings.py. Should default to False. Enabling debug by default is a bad habit to bake into a template."
fix: SQLAlchemy echo=True should be tied to DEBUG setting,Improvement,Medium,core,"echo=True on the engine is hardcoded. Should be echo=settings.DEBUG so SQL query logging is controlled by the debug flag."
chore: remove ApiSuccessDataResponse dead code,Improvement,Low,schemas,"ApiSuccessDataResponse is defined in common.py but never used. Remove it or start using it."
refactor: remove_sensitive_info should use a configurable set of field names,Improvement,Medium,core,"The logger only masks password and confirm_password as hardcoded strings. Should use a configurable set so new sensitive fields like token or secret can be added without modifying logger code."
refactor: ApiSuccessDataResponse.data should be Generic[T] not dict,Improvement,Medium,schemas,"data: dict gives no type information to consumers. Should use Generic[T] for proper type hints."
fix: validate_passwords model validator should use mode=after not mode=before,Improvement,Medium,schemas,"The model_validator in SignUpRequest uses mode=before which runs on raw unvalidated input. Should use mode=after to operate on already-validated field values."
feat: add EmailStr validation to SignUpRequest,Improvement,Medium,schemas,"SignUpRequest.email is typed as plain str. Use pydantic.EmailStr to enforce valid email format."
feat: add password strength validation,Improvement,Medium,schemas,"No minimum length or complexity rules are enforced on passwords. Add a field validator in SignUpRequest."
feat: add created_at and updated_at timestamps to User model,Improvement,Medium,models,"User model has no timestamps. Add a base model mixin with created_at and updated_at columns so all future models can inherit them."
feat: add soft delete support,Improvement,Low,models,"Consider adding a deleted_at column or a soft-delete mixin to avoid hard deletes and retain audit history."
chore: update .env.example to document all configurable settings,Improvement,Medium,core,".env.example only shows JWT_SECRET_KEY and DATABASE_URL. All configurable vars like DEBUG, APP_NAME, CORS_ORIGINS, ENABLE_CONSOLE_LOGGING should be listed with comments."
chore: add warning comment on CORS_ORIGINS wildcard default,Improvement,Low,core,"CORS_ORIGINS = [""*""] is fine for local dev but must be restricted in production. Add an inline comment warning about this."
chore: add pydantic-settings as explicit dependency in pyproject.toml,Improvement,Low,core,"pydantic-settings is imported directly but only arrives as a transitive dependency. Should be listed explicitly in pyproject.toml."
chore: add scratchpad/ to .gitignore,Improvement,Low,repo,"scratchpad/ is not in .gitignore. Scratch files should not be committed to the repository."
chore: remove or populate empty app/utils/ and app/enums/ directories,Improvement,Low,repo,"Empty directories add noise. Either add example content (a common enum, a date util) or remove them."
